text,label
"Re: Wire transfer request, please action urgently Dear valued customer, your password will expire today. Click here immediately to reset your password and avoid losing access.",phishing
"IT Support: your mailbox is full, click here Congratulations, you have been selected to receive a prize. Claim your reward now by entering your bank account number and social security number.",phishing
"Your account has been suspended Congratulations, you have been selected to receive a prize. Claim your reward now by entering your bank account number and social security number.",phishing
"Apple ID locked, verify now to restore access Your account has been limited. To restore full access please confirm your password and billing details by clicking the secure link below.",phishing
"Urgent: Verify your account now Congratulations, you have been selected to receive a prize. Claim your reward now by entering your bank account number and social security number.",phishing
Action required: Update your billing information This is your final notice. Your invoice is overdue. Please make payment immediately using the gift card codes listed below to avoid legal action.,phishing
Reminder: submit timesheet by end of day Attached is the updated travel itinerary for next week's conference. Let me know if anything needs to change.,legit
Your account has been suspended Your account has been limited. To restore full access please confirm your password and billing details by clicking the secure link below.,phishing
"Reminder: submit timesheet by end of day Hi, attached is the draft of the quarterly report. Let me know if you have any comments before Friday.",legit
"Apple ID locked, verify now to restore access Act now, this offer expires soon. Update your billing information by clicking the link to avoid service suspension.",phishing
"Confirm your password within 24 hours We detected a sign in attempt from an unknown device. If this was not you, verify your identity now or your account will be permanently closed.",phishing
"Reminder: submit timesheet by end of day Hi team, just a quick note that our meeting tomorrow has moved to 3pm in the main conference room. See you there.",legit
"Thanks for your help yesterday Welcome to the team, we are excited to have you. Your laptop and accounts should be set up by Monday.",legit
"Question about the budget spreadsheet Hi team, just a quick note that our meeting tomorrow has moved to 3pm in the main conference room. See you there.",legit
"Quarterly report draft attached Welcome to the team, we are excited to have you. Your laptop and accounts should be set up by Monday.",legit
"Lunch this Friday? Hi team, just a quick note that our meeting tomorrow has moved to 3pm in the main conference room. See you there.",legit
"Schedule for next week's training session Thanks again for your help yesterday, it really made a difference for the launch.",legit
Updated travel itinerary Your order has shipped and should arrive within 3 to 5 business days. Thanks for your purchase.,legit
"Your Netflix payment failed, update card details This is your final notice. Your invoice is overdue. Please make payment immediately using the gift card codes listed below to avoid legal action.",phishing
Lunch this Friday? Reminder to submit your timesheet by end of day today so payroll can process everything on time.,legit
Notes from today's standup Here are the notes from today's standup. Please review and let me know if I missed anything important.,legit
Lunch this Friday? Your order has shipped and should arrive within 3 to 5 business days. Thanks for your purchase.,legit
"Action required: Update your billing information Congratulations, you have been selected to receive a prize. Claim your reward now by entering your bank account number and social security number.",phishing
Feedback on the design document Here are the notes from today's standup. Please review and let me know if I missed anything important.,legit
"You have won a prize, claim now We detected a sign in attempt from an unknown device. If this was not you, verify your identity now or your account will be permanently closed.",phishing
"Your package could not be delivered, click to reschedule Your account has been limited. To restore full access please confirm your password and billing details by clicking the secure link below.",phishing
Quarterly report draft attached Attached is the updated travel itinerary for next week's conference. Let me know if anything needs to change.,legit
"Your package could not be delivered, click to reschedule Dear valued customer, your password will expire today. Click here immediately to reset your password and avoid losing access.",phishing
"Project status update for this week Hi team, just a quick note that our meeting tomorrow has moved to 3pm in the main conference room. See you there.",legit
Feedback on the design document Here are the notes from today's standup. Please review and let me know if I missed anything important.,legit
"Welcome to the team Quick question on the budget spreadsheet, can you confirm the numbers in row 12 before we send it out.",legit
"Thanks for your help yesterday Hey, are you free for lunch this Friday? Thinking about trying the new place down the street.",legit
"Confirm your password within 24 hours Congratulations, you have been selected to receive a prize. Claim your reward now by entering your bank account number and social security number.",phishing
Your order has shipped Attached is the updated travel itinerary for next week's conference. Let me know if anything needs to change.,legit
"Project status update for this week Hi, attached is the draft of the quarterly report. Let me know if you have any comments before Friday.",legit
"Your order has shipped Hi, attached is the draft of the quarterly report. Let me know if you have any comments before Friday.",legit
"Question about the budget spreadsheet Hi, attached is the draft of the quarterly report. Let me know if you have any comments before Friday.",legit
"IT Support: your mailbox is full, click here Act now, this offer expires soon. Update your billing information by clicking the link to avoid service suspension.",phishing
"Your Netflix payment failed, update card details Dear customer, we noticed unusual activity on your account. Click here to verify your identity immediately or your account will be suspended within 24 hours.",phishing
"Feedback on the design document Hi, attached is the draft of the quarterly report. Let me know if you have any comments before Friday.",legit
Team meeting moved to 3pm tomorrow Your order has shipped and should arrive within 3 to 5 business days. Thanks for your purchase.,legit
"Team meeting moved to 3pm tomorrow Quick question on the budget spreadsheet, can you confirm the numbers in row 12 before we send it out.",legit
"Question about the budget spreadsheet Hey, are you free for lunch this Friday? Thinking about trying the new place down the street.",legit
Notes from today's standup Here are the notes from today's standup. Please review and let me know if I missed anything important.,legit
"Project status update for this week Hi, attached is the draft of the quarterly report. Let me know if you have any comments before Friday.",legit
Quarterly report draft attached Here are the notes from today's standup. Please review and let me know if I missed anything important.,legit
"Re: Wire transfer request, please action urgently Act now, this offer expires soon. Update your billing information by clicking the link to avoid service suspension.",phishing
Lunch this Friday? Your order has shipped and should arrive within 3 to 5 business days. Thanks for your purchase.,legit
"Your account has been suspended Dear valued customer, your password will expire today. Click here immediately to reset your password and avoid losing access.",phishing
Action required: Update your billing information Your account has been limited. To restore full access please confirm your password and billing details by clicking the secure link below.,phishing
"Action required: Update your billing information Congratulations, you have been selected to receive a prize. Claim your reward now by entering your bank account number and social security number.",phishing
"Re: Wire transfer request, please action urgently Your package delivery failed. Click here to reschedule and confirm your payment information to release the parcel from customs.",phishing
Quarterly report draft attached Reminder to submit your timesheet by end of day today so payroll can process everything on time.,legit
"Your account has been suspended Act now, this offer expires soon. Update your billing information by clicking the link to avoid service suspension.",phishing
"Action required: Update your billing information We detected a sign in attempt from an unknown device. If this was not you, verify your identity now or your account will be permanently closed.",phishing
"Apple ID locked, verify now to restore access Kindly revert with your login credentials so we can do the needful and restore your mailbox access before it expires.",phishing
"HR Notice: update your direct deposit information We detected a sign in attempt from an unknown device. If this was not you, verify your identity now or your account will be permanently closed.",phishing
HR Notice: update your direct deposit information Kindly revert with your login credentials so we can do the needful and restore your mailbox access before it expires.,phishing
Lunch this Friday? Your order has shipped and should arrive within 3 to 5 business days. Thanks for your purchase.,legit
Newsletter: company updates for June Attached is the updated travel itinerary for next week's conference. Let me know if anything needs to change.,legit
"Re: Wire transfer request, please action urgently Your account has been limited. To restore full access please confirm your password and billing details by clicking the secure link below.",phishing
Conference room booking confirmation Attached is the updated travel itinerary for next week's conference. Let me know if anything needs to change.,legit
Confirm your password within 24 hours This is your final notice. Your invoice is overdue. Please make payment immediately using the gift card codes listed below to avoid legal action.,phishing
Reminder: submit timesheet by end of day Your order has shipped and should arrive within 3 to 5 business days. Thanks for your purchase.,legit
"Your order has shipped Thanks again for your help yesterday, it really made a difference for the launch.",legit
"Apple ID locked, verify now to restore access Your account has been limited. To restore full access please confirm your password and billing details by clicking the secure link below.",phishing
Confirm your password within 24 hours Your account has been limited. To restore full access please confirm your password and billing details by clicking the secure link below.,phishing
"Tax refund pending, verify your identity This is your final notice. Your invoice is overdue. Please make payment immediately using the gift card codes listed below to avoid legal action.",phishing
"Schedule for next week's training session Hi team, just a quick note that our meeting tomorrow has moved to 3pm in the main conference room. See you there.",legit
Project status update for this week Reminder to submit your timesheet by end of day today so payroll can process everything on time.,legit
"HR Notice: update your direct deposit information Dear valued customer, your password will expire today. Click here immediately to reset your password and avoid losing access.",phishing
"Schedule for next week's training session Thanks again for your help yesterday, it really made a difference for the launch.",legit
"Your package could not be delivered, click to reschedule Act now, this offer expires soon. Update your billing information by clicking the link to avoid service suspension.",phishing
"Tax refund pending, verify your identity Congratulations, you have been selected to receive a prize. Claim your reward now by entering your bank account number and social security number.",phishing
"Your package could not be delivered, click to reschedule Dear customer, we noticed unusual activity on your account. Click here to verify your identity immediately or your account will be suspended within 24 hours.",phishing
Feedback on the design document Attached is the updated travel itinerary for next week's conference. Let me know if anything needs to change.,legit
"Your account has been suspended Congratulations, you have been selected to receive a prize. Claim your reward now by entering your bank account number and social security number.",phishing
"Tax refund pending, verify your identity Your package delivery failed. Click here to reschedule and confirm your payment information to release the parcel from customs.",phishing
"Quarterly report draft attached Thanks again for your help yesterday, it really made a difference for the launch.",legit
"Team meeting moved to 3pm tomorrow Welcome to the team, we are excited to have you. Your laptop and accounts should be set up by Monday.",legit
"Schedule for next week's training session Welcome to the team, we are excited to have you. Your laptop and accounts should be set up by Monday.",legit
"Thanks for your help yesterday Hi team, just a quick note that our meeting tomorrow has moved to 3pm in the main conference room. See you there.",legit
"Dear customer, your account will be closed Act now, this offer expires soon. Update your billing information by clicking the link to avoid service suspension.",phishing
"IT Support: your mailbox is full, click here Congratulations, you have been selected to receive a prize. Claim your reward now by entering your bank account number and social security number.",phishing
"Team meeting moved to 3pm tomorrow Hi team, just a quick note that our meeting tomorrow has moved to 3pm in the main conference room. See you there.",legit
"Apple ID locked, verify now to restore access Dear valued customer, your password will expire today. Click here immediately to reset your password and avoid losing access.",phishing
"Schedule for next week's training session Thanks again for your help yesterday, it really made a difference for the launch.",legit
"Re: Wire transfer request, please action urgently Your account has been limited. To restore full access please confirm your password and billing details by clicking the secure link below.",phishing
"Updated travel itinerary Hi, attached is the draft of the quarterly report. Let me know if you have any comments before Friday.",legit
"IT Support: your mailbox is full, click here Dear customer, we noticed unusual activity on your account. Click here to verify your identity immediately or your account will be suspended within 24 hours.",phishing
"Your Netflix payment failed, update card details This is your final notice. Your invoice is overdue. Please make payment immediately using the gift card codes listed below to avoid legal action.",phishing
"Re: Wire transfer request, please action urgently Kindly revert with your login credentials so we can do the needful and restore your mailbox access before it expires.",phishing
Action required: Update your billing information Your package delivery failed. Click here to reschedule and confirm your payment information to release the parcel from customs.,phishing
"Your Netflix payment failed, update card details We detected a sign in attempt from an unknown device. If this was not you, verify your identity now or your account will be permanently closed.",phishing
"Lunch this Friday? Quick question on the budget spreadsheet, can you confirm the numbers in row 12 before we send it out.",legit
"Dear customer, your account will be closed Your account has been limited. To restore full access please confirm your password and billing details by clicking the secure link below.",phishing
"Tax refund pending, verify your identity Congratulations, you have been selected to receive a prize. Claim your reward now by entering your bank account number and social security number.",phishing
"Quarterly report draft attached Quick question on the budget spreadsheet, can you confirm the numbers in row 12 before we send it out.",legit
Reminder: submit timesheet by end of day Attached is the updated travel itinerary for next week's conference. Let me know if anything needs to change.,legit
Team meeting moved to 3pm tomorrow Attached is the updated travel itinerary for next week's conference. Let me know if anything needs to change.,legit
Lunch this Friday? Attached is the updated travel itinerary for next week's conference. Let me know if anything needs to change.,legit
"Your Netflix payment failed, update card details Congratulations, you have been selected to receive a prize. Claim your reward now by entering your bank account number and social security number.",phishing
"Tax refund pending, verify your identity We detected a sign in attempt from an unknown device. If this was not you, verify your identity now or your account will be permanently closed.",phishing
"Security Alert: unusual sign in activity detected Dear customer, we noticed unusual activity on your account. Click here to verify your identity immediately or your account will be suspended within 24 hours.",phishing
"Newsletter: company updates for June Quick question on the budget spreadsheet, can you confirm the numbers in row 12 before we send it out.",legit
"Quarterly report draft attached Hi, attached is the draft of the quarterly report. Let me know if you have any comments before Friday.",legit
"Dear customer, your account will be closed Your account has been limited. To restore full access please confirm your password and billing details by clicking the secure link below.",phishing
"Question about the budget spreadsheet Quick question on the budget spreadsheet, can you confirm the numbers in row 12 before we send it out.",legit
"Security Alert: unusual sign in activity detected Act now, this offer expires soon. Update your billing information by clicking the link to avoid service suspension.",phishing
Security Alert: unusual sign in activity detected This is your final notice. Your invoice is overdue. Please make payment immediately using the gift card codes listed below to avoid legal action.,phishing
"Security Alert: unusual sign in activity detected We detected a sign in attempt from an unknown device. If this was not you, verify your identity now or your account will be permanently closed.",phishing
"Quarterly report draft attached Hi, attached is the draft of the quarterly report. Let me know if you have any comments before Friday.",legit
"Security Alert: unusual sign in activity detected Dear valued customer, your password will expire today. Click here immediately to reset your password and avoid losing access.",phishing
Question about the budget spreadsheet Your order has shipped and should arrive within 3 to 5 business days. Thanks for your purchase.,legit
Your order has shipped Here are the notes from today's standup. Please review and let me know if I missed anything important.,legit
Quarterly report draft attached Your order has shipped and should arrive within 3 to 5 business days. Thanks for your purchase.,legit
"Newsletter: company updates for June Hi, attached is the draft of the quarterly report. Let me know if you have any comments before Friday.",legit
Your account has been suspended Kindly revert with your login credentials so we can do the needful and restore your mailbox access before it expires.,phishing
"Tax refund pending, verify your identity Congratulations, you have been selected to receive a prize. Claim your reward now by entering your bank account number and social security number.",phishing
"Re: Wire transfer request, please action urgently Kindly revert with your login credentials so we can do the needful and restore your mailbox access before it expires.",phishing
Project status update for this week Reminder to submit your timesheet by end of day today so payroll can process everything on time.,legit
"Notes from today's standup Hey, are you free for lunch this Friday? Thinking about trying the new place down the street.",legit
Thanks for your help yesterday Here are the notes from today's standup. Please review and let me know if I missed anything important.,legit
"Your account has been suspended Dear customer, we noticed unusual activity on your account. Click here to verify your identity immediately or your account will be suspended within 24 hours.",phishing
"Conference room booking confirmation Thanks again for your help yesterday, it really made a difference for the launch.",legit
Quarterly report draft attached Reminder to submit your timesheet by end of day today so payroll can process everything on time.,legit
"IT Support: your mailbox is full, click here Your package delivery failed. Click here to reschedule and confirm your payment information to release the parcel from customs.",phishing
"Final notice: invoice overdue, pay immediately Dear valued customer, your password will expire today. Click here immediately to reset your password and avoid losing access.",phishing
Urgent: Verify your account now Your account has been limited. To restore full access please confirm your password and billing details by clicking the secure link below.,phishing
Lunch this Friday? Attached is the updated travel itinerary for next week's conference. Let me know if anything needs to change.,legit
"Thanks for your help yesterday Hi team, just a quick note that our meeting tomorrow has moved to 3pm in the main conference room. See you there.",legit
"Thanks for your help yesterday Hey, are you free for lunch this Friday? Thinking about trying the new place down the street.",legit
"Newsletter: company updates for June Thanks again for your help yesterday, it really made a difference for the launch.",legit
Newsletter: company updates for June Attached is the updated travel itinerary for next week's conference. Let me know if anything needs to change.,legit
Reminder: submit timesheet by end of day Reminder to submit your timesheet by end of day today so payroll can process everything on time.,legit
"Reminder: submit timesheet by end of day Quick question on the budget spreadsheet, can you confirm the numbers in row 12 before we send it out.",legit
"Reminder: submit timesheet by end of day Welcome to the team, we are excited to have you. Your laptop and accounts should be set up by Monday.",legit
Question about the budget spreadsheet Reminder to submit your timesheet by end of day today so payroll can process everything on time.,legit
"You have won a prize, claim now Kindly revert with your login credentials so we can do the needful and restore your mailbox access before it expires.",phishing
"Tax refund pending, verify your identity Your account has been limited. To restore full access please confirm your password and billing details by clicking the secure link below.",phishing
"IT Support: your mailbox is full, click here This is your final notice. Your invoice is overdue. Please make payment immediately using the gift card codes listed below to avoid legal action.",phishing
"Your Netflix payment failed, update card details Act now, this offer expires soon. Update your billing information by clicking the link to avoid service suspension.",phishing
"Apple ID locked, verify now to restore access Dear customer, we noticed unusual activity on your account. Click here to verify your identity immediately or your account will be suspended within 24 hours.",phishing
"Team meeting moved to 3pm tomorrow Hi team, just a quick note that our meeting tomorrow has moved to 3pm in the main conference room. See you there.",legit
"Feedback on the design document Hi, attached is the draft of the quarterly report. Let me know if you have any comments before Friday.",legit
Confirm your password within 24 hours Your package delivery failed. Click here to reschedule and confirm your payment information to release the parcel from customs.,phishing
Action required: Update your billing information Kindly revert with your login credentials so we can do the needful and restore your mailbox access before it expires.,phishing
"Team meeting moved to 3pm tomorrow Thanks again for your help yesterday, it really made a difference for the launch.",legit
"Your Netflix payment failed, update card details Kindly revert with your login credentials so we can do the needful and restore your mailbox access before it expires.",phishing
"Action required: Update your billing information We detected a sign in attempt from an unknown device. If this was not you, verify your identity now or your account will be permanently closed.",phishing
"Urgent: Verify your account now Dear valued customer, your password will expire today. Click here immediately to reset your password and avoid losing access.",phishing
Lunch this Friday? Here are the notes from today's standup. Please review and let me know if I missed anything important.,legit
"Your Netflix payment failed, update card details We detected a sign in attempt from an unknown device. If this was not you, verify your identity now or your account will be permanently closed.",phishing
Security Alert: unusual sign in activity detected Your package delivery failed. Click here to reschedule and confirm your payment information to release the parcel from customs.,phishing
"Team meeting moved to 3pm tomorrow Hi, attached is the draft of the quarterly report. Let me know if you have any comments before Friday.",legit
"IT Support: your mailbox is full, click here Dear valued customer, your password will expire today. Click here immediately to reset your password and avoid losing access.",phishing
"Security Alert: unusual sign in activity detected Dear customer, we noticed unusual activity on your account. Click here to verify your identity immediately or your account will be suspended within 24 hours.",phishing
HR Notice: update your direct deposit information Please find attached invoice. Wire transfer must be completed within 24 hours to avoid penalty fees. Use bitcoin for faster processing.,phishing
"Newsletter: company updates for June Hi team, just a quick note that our meeting tomorrow has moved to 3pm in the main conference room. See you there.",legit
Schedule for next week's training session Here are the notes from today's standup. Please review and let me know if I missed anything important.,legit
"You have won a prize, claim now Congratulations, you have been selected to receive a prize. Claim your reward now by entering your bank account number and social security number.",phishing
"Apple ID locked, verify now to restore access Your account has been limited. To restore full access please confirm your password and billing details by clicking the secure link below.",phishing
"Confirm your password within 24 hours Dear valued customer, your password will expire today. Click here immediately to reset your password and avoid losing access.",phishing
Question about the budget spreadsheet Reminder to submit your timesheet by end of day today so payroll can process everything on time.,legit
"Question about the budget spreadsheet Welcome to the team, we are excited to have you. Your laptop and accounts should be set up by Monday.",legit
Your order has shipped Your order has shipped and should arrive within 3 to 5 business days. Thanks for your purchase.,legit
"Lunch this Friday? Hi team, just a quick note that our meeting tomorrow has moved to 3pm in the main conference room. See you there.",legit
"Question about the budget spreadsheet Hey, are you free for lunch this Friday? Thinking about trying the new place down the street.",legit
"Notes from today's standup Thanks again for your help yesterday, it really made a difference for the launch.",legit
"Thanks for your help yesterday Thanks again for your help yesterday, it really made a difference for the launch.",legit
"IT Support: your mailbox is full, click here Your account has been limited. To restore full access please confirm your password and billing details by clicking the secure link below.",phishing
"Conference room booking confirmation Welcome to the team, we are excited to have you. Your laptop and accounts should be set up by Monday.",legit
"Newsletter: company updates for June Hey, are you free for lunch this Friday? Thinking about trying the new place down the street.",legit
"Confirm your password within 24 hours Dear customer, we noticed unusual activity on your account. Click here to verify your identity immediately or your account will be suspended within 24 hours.",phishing
"IT Support: your mailbox is full, click here This is your final notice. Your invoice is overdue. Please make payment immediately using the gift card codes listed below to avoid legal action.",phishing
"Your order has shipped Hi team, just a quick note that our meeting tomorrow has moved to 3pm in the main conference room. See you there.",legit
Action required: Update your billing information Your package delivery failed. Click here to reschedule and confirm your payment information to release the parcel from customs.,phishing
"Question about the budget spreadsheet Hi, attached is the draft of the quarterly report. Let me know if you have any comments before Friday.",legit
"Reminder: submit timesheet by end of day Hi, attached is the draft of the quarterly report. Let me know if you have any comments before Friday.",legit
